#{"t_start": 1743325874.6618187, "env_id": "None"}
r,l,t,reward,mastery_gain,engagement,cog_load,motivation,eff_difficulty,miscon_formed,miscon_cleared
-85.506036,250,233.12935,-1.100049929935306,0.00028605619289339855,0.80912054,0.05,0.99,0.05,False,False
-90.678931,250,233.703053,-1.0966752932284392,0.00018014174865858715,0.980861,0.05,0.9718437,0.05,False,False
-40.449475,250,234.317174,-1.0910950790738054,0.00024263091038666804,0.9945558,0.05,0.99,0.05,False,False
-95.827076,250,234.917414,-1.0875111701731517,0.00030998447339806485,1.0016953,0.05,0.9876429,0.05,False,False
-70.0312,250,235.492459,-1.1349986009566997,4.778296029763876e-05,1.0102037,0.05,0.53398794,0.05,False,False
-89.199354,250,236.073366,-1.1029143113106752,0.0001546377657646687,1.0019947,0.05,0.902601,0.05,False,False
-91.119351,250,236.669004,3.087414555127049,0.07054726388384153,1.1523452,0.05,0.99,0.05,False,False
-75.14705,250,237.267477,-1.1183289080429821,0.00010929952602834035,1.0025591,0.05,0.7561394,0.05,False,False
-94.0727,250,237.879302,-1.0876912428477814,0.00030488098285712717,0.9994113,0.05,0.99,0.05,False,False
-38.192215,250,238.499092,-1.0830302735197797,0.0004090798802609158,0.99026173,0.05,0.99,0.05,False,False
-71.187871,250,239.114438,-1.103532436021687,0.000132012096772169,0.99489045,0.05,0.91303897,0.05,False,False
-101.464027,250,239.713668,-1.092989455768486,0.00020230062913854886,0.9965914,0.05,0.99,0.05,False,False
182.54369,250,240.343772,17.273122188371843,0.34875939251656185,1.11378,0.05,0.99,0.29700774,False,False
-69.033429,250,240.927999,-1.097367324832858,0.0001204741226875537,0.998492,0.05,0.9855491,0.05,False,False
-45.206035,250,241.503123,1.1200800156133184,0.0331344000839925,1.0686159,0.05,0.99,0.05,False,False
-70.820498,250,475.418516,-1.1033716167220173,0.00021059335930407718,0.8319129,0.05,0.97982126,0.05,False,False
-66.820804,250,476.025534,-1.0935605925404726,0.00021059335930407718,0.99542993,0.05,0.97982126,0.05,False,False
-58.189933,250,476.589597,-1.0955547025730787,0.00017545550211155972,0.9928139,0.05,0.9789296,0.05,False,False
-57.163975,250,477.192716,-1.0983210233418437,0.00011131031877142038,0.99488425,0.05,0.98244864,0.05,False,False
-58.251546,250,477.792812,-1.0937922844247185,0.00018712374606497903,0.9958583,0.05,0.99,0.05,False,False
-66.573236,250,478.395436,-1.0926486891808689,0.00021200686066830533,0.9941823,0.05,0.99,0.05,False,False
-55.822538,250,478.963549,-1.098032819696325,0.00017545550211155972,0.9515119,0.05,0.9789296,0.05,False,False
