#{"t_start": 1743315557.6958563, "env_id": "None"}
r,l,t,reward,mastery_gain,engagement,cog_load,motivation,eff_difficulty,miscon_formed,miscon_cleared
28.930842,250,89.016031,-0.034317010890856176,0.0025172407982465665,-0.029173657,0.98,0.2,0.49610364,False,False
1559.532524,250,91.935352,10.31069103102861,0.20934701220194066,1.1951792,0.06660405,0.99,0.68113136,False,False
1751.666894,250,94.795608,6.696251390371498,0.13458394568480603,1.1516044,0.05,0.99,0.19342698,False,False
1321.007113,250,97.610918,1.0908067088511277,0.023810458506816012,0.108507514,0.9780915,0.8784826,0.12386277,False,False
-72.043328,250,100.3779,-0.5062980338062307,0.0016088053410739478,0.016227365,0.98,0.2,0.69700336,False,False
1369.775663,250,103.459785,9.257945958950097,0.1853613472964878,1.079957,0.05,0.99,0.26431906,False,False
24.058702,250,106.431992,-0.030367346440162077,0.0013869376428295014,-0.05613549,0.98,0.2,0.29664922,False,False
114.884408,250,109.630637,-0.6056742084833663,3.9306447083390125e-05,0.0005245358,0.98,0.2,0.79705375,False,False
766.359222,250,194.910621,-0.34064458360400485,0.0008996946484095481,0.80128205,0.05,0.96482617,0.5967313,False,False
833.220445,250,198.529398,4.997767415367302,0.10564321508035533,1.1401957,0.05,0.99,0.45753706,False,False
1131.708745,250,202.080558,0.6816642908704379,0.020836052507364946,0.90702796,0.07163605,0.9687043,0.6970587,False,False
69.467666,250,205.447358,-0.03298023139466774,0.0025554730810662244,-0.0039527267,0.98,0.2,0.49656785,False,False
146.832293,250,208.997239,-0.30661680274481184,0.0033260558010588877,-0.009579152,0.98,0.2,0.8958963,False,False
734.990057,250,212.568582,-0.5417966491739048,0.0021037284108795856,-0.04393734,0.98,0.2,0.2886932,False,False
-35.576926,250,216.398025,-0.04577559202719978,0.0010800628270587818,0.01658091,0.98,0.2,0.29681483,False,False
1151.45289,250,220.121571,5.104207825225923,0.11426675462181038,1.1090548,0.14211443,0.99,0.735655,False,False
19.534178,250,304.097742,-0.520559246676649,6.3976487023556e-06,-0.05719836,0.98,0.2,0.69706374,False,False
878.363243,250,307.348837,4.861776939373265,0.09788087012134096,1.2027893,0.05,0.99,0.39705217,False,False
895.776853,250,310.625656,4.015267837949013,0.08060759457468818,1.2036355,0.05,0.99,0.37174362,False,False
-79.374237,250,314.146684,-0.07140418105227499,0.0005649265287761393,-0.086976305,0.98,0.2,0.29648483,False,False
7.479102,250,317.238017,-1.106801667255382,1.648040806809659e-05,-0.000929296,0.98,0.2,0.7970519,False,False
-76.726312,250,320.458648,-0.4296362287157234,0.0006257880013119052,-0.087731555,0.98,0.2,0.49670616,False,False
49.139683,250,323.842518,-0.5737049470111035,0.001977968646855547,-0.06443696,0.98,0.2,0.39703923,False,False
-75.144213,250,327.620516,-2.6878220303759446,0.0005640083680441608,-0.088835165,0.98,0.2,0.59700674,True,False
-119.875916,250,416.524411,-0.3184475189887419,0.000628256710036725,-0.08777435,0.98,0.2,0.29702327,False,False
1623.20042,250,419.954669,6.144681318223388,0.12300501990046175,1.1979251,0.05,0.99,0.34615174,False,False
858.974392,250,437.309944,-0.13827944646867793,0.004986838122885887,-0.012524784,0.98,0.2,0.86504084,False,False
-73.826172,250,440.724714,-0.36852279211721395,0.000856021403940206,-0.08800404,0.98,0.2,0.4970262,False,False
134.415486,250,444.460554,-0.6782988743213924,0.0021468349480070425,-0.0031261593,0.98,0.2,0.69647974,False,False
1216.913023,250,447.85741,3.0934815618552527,0.06324284890504234,1.2036554,0.05,0.99,0.05,False,False
1690.166439,250,451.118085,2.9262603603022233,0.06315778953853635,0.93016267,0.053296708,0.99,0.7502279,False,False
165.522649,250,454.361523,-0.9466134468329493,1.9023290847650984e-05,0.01796569,0.98,0.2,0.59706026,False,False
-7.57928,250,536.490873,-0.09781273985427226,0.0012700029550946543,-0.029779822,0.98,0.2,0.49701738,False,False
15.594728,250,539.38853,-0.2361490507475177,0.0012740595990883513,-0.04652445,0.98,0.2,0.29700208,False,False
134.850896,250,542.293164,-0.3150172025494712,0.0016967980418196573,-0.06506087,0.98,0.2,0.29701498,False,False
927.971124,250,545.175419,3.182081073326227,0.06842680171067232,1.0874038,0.116350025,0.99,0.85242206,False,False
126.077418,250,548.031568,-0.22601096996823206,0.0011998063891809677,0.018878713,0.98,0.2,0.69665194,False,False
90.049756,250,550.872071,-0.3268178446949698,0.0016898072789884066,0.017165646,0.98,0.2,0.49701363,False,False
1776.940073,250,553.782763,7.8543379417383035,0.15966096859519355,1.1537483,0.05,0.99,0.5970623,False,False
-30.826584,250,556.64279,-0.6562200507971182,7.050318414897038e-06,0.01674287,0.98,0.2,0.39700082,False,False
885.72417,250,632.0333,4.730448004600385,0.09475870350325065,1.2033517,0.05,0.99,0.2915119,False,False
1046.494175,250,634.919692,-0.6418623957556088,0.0014471119381554945,-0.028499022,0.98,0.28672853,0.5959239,False,False
319.465619,250,637.783712,-0.3560485913391342,1.1166562864322933e-05,-0.00028315187,0.98,0.2,0.39703378,False,False
-88.281893,250,640.643227,-0.3733573012668728,0.0009844664057714959,-0.087853,0.98,0.2,0.3970115,False,False
91.598111,250,643.471909,-0.08342300269783683,0.0015577087382910356,-0.041548952,0.98,0.2,0.4970138,False,False
254.829637,250,646.396368,-0.5730344788571476,0.0015365962746187447,-0.04478748,0.98,0.2,0.29703328,False,False
1562.140614,250,649.275736,9.310460891666224,0.19190319225703104,1.162587,0.05,0.99,0.39707658,False,False
59.77231,250,652.11607,-0.7294609667106611,0.002881262251050984,-0.06332295,0.98,0.2,0.79702884,False,False
1822.75397,250,654.961753,2.1398207675511323,0.04912989899813073,1.085579,0.05,0.99,0.28748238,False,False
849.050403,250,729.561416,-0.043991998221889955,0.0033321884603020385,-0.041818574,0.98,0.2,0.59372914,False,False
474.790649,250,732.437842,-0.7267532998632792,8.427038011669332e-05,-0.056960687,0.98,0.2,0.59705013,False,False
1510.783505,250,735.356978,7.405631642159967,0.1495719475578695,1.1646225,0.050584197,0.99,0.49701926,False,False
375.027621,250,738.232376,-0.6929569605326996,0.0009390849512093337,-0.042117506,0.98,0.2,0.6731554,False,False
1754.88378,250,752.672009,4.839012892742119,0.10261238731422348,1.1350555,0.05,0.99,0.24677654,False,False
1801.593668,250,755.545658,6.937375678513407,0.13890765659038393,1.1355581,0.05,0.99,0.31023246,False,False
884.289452,250,758.465485,3.4265185285692796,0.07007776895559904,1.1436663,0.057094235,0.99,0.56454164,False,False
313.680519,250,761.33488,-0.011853172246407057,0.0027877878283701224,-0.0027261674,0.98,0.2,0.48861322,False,False
1942.020142,250,839.870614,5.1446660796720955,0.10307143131148154,1.1520894,0.050409302,0.99,0.30078602,False,False
1176.742283,250,843.142127,5.464321976128167,0.11444228288632209,1.1192608,0.05,0.99,0.19710088,False,False
202.562524,250,846.367864,-0.6514607287466297,9.403456509570271e-06,0.015985265,0.98,0.2,0.3910492,False,False
1400.130488,250,849.655734,-0.28978714968796593,0.0025792000945337565,-0.065569595,0.98,0.2,0.39216995,False,False
1596.86336,250,852.947232,3.2949376821967724,0.1165916635659392,1.1636866,0.05,0.99,0.3970921,True,False
1613.051391,250,856.234523,5.094869492604038,0.10309951782611411,1.1652234,0.05,0.99,0.16406715,False,False
276.096791,250,859.432303,-0.25042952511841043,0.0024621753970515753,-0.008818388,0.98,0.2,0.7970345,False,False
1242.125517,250,862.761604,-0.6705807057812296,0.003919163383753134,0.90874285,0.06648274,0.9687043,0.59700155,False,False
42.467547,250,948.812111,-0.44974316626886907,5.900310257994878e-06,0.017125398,0.98,0.2,0.5970072,False,False
1255.51023,250,952.106703,7.442296709492616,0.14949257548480852,1.1661832,0.05,0.99,0.4569042,False,False
2185.689502,250,955.389934,10.145312716570837,0.20230430358121482,1.2002186,0.13610175,0.99,0.49206537,False,False
918.705791,250,958.67494,0.7941809244171897,0.020421544249089797,0.89666176,0.123247445,0.9705245,0.58825654,False,False
1191.346609,250,961.913533,2.706453834887935,0.06065976447277453,1.1381446,0.05,0.99,0.05,False,False
826.18922,250,965.136669,3.01533316305946,0.060454393085504966,1.142612,0.05,0.99,0.24895835,False,False
424.348171,250,968.53263,-0.5746716404841165,0.0028017116099877766,-0.06345169,0.98,0.2,0.5962483,False,False
1813.481845,250,971.985347,11.933833489482524,0.23882751569939312,1.1343929,0.05,0.99,0.27363905,False,False
1433.248026,250,1058.622421,6.898728942506945,0.14318054112950335,1.1628004,0.05,0.99,0.41763487,False,False
30.132548,250,1061.896831,-0.27645963656920836,0.0019080351990424303,-0.002536565,0.98,0.2,0.39612824,False,False
232.082095,250,1065.164214,-0.5951264950413181,0.001568706875287147,-0.043206036,0.98,0.2,0.7970438,False,False
915.951094,250,1068.435459,3.780567619644128,0.08124610442385123,1.2072582,0.052842308,0.99,0.79712784,False,False
127.467029,250,1071.757605,-1.1056507994552451,2.7232320268953494e-05,-0.06676446,0.98,0.2,0.79700375,False,False
1890.290203,250,1075.100284,9.344496696400476,0.1921047281628665,1.1354336,0.05,0.99,0.23609737,False,False
909.070306,250,1091.717669,3.5905532502882784,0.07803042095731319,1.165191,0.05,0.99,0.05,False,False
557.511459,250,1095.087156,-0.505123401616069,9.17357304131638e-05,0.0150630325,0.98,0.2,0.19622621,False,False
938.641955,250,1181.641726,-0.04171604854208666,0.00426756590836397,0.8902818,0.05,0.9750332,0.38571855,False,False
1989.773502,250,1184.889041,8.045498792810376,0.16125758292075268,1.1308427,0.08832353,0.99,0.5845018,False,False
268.410591,250,1188.128689,-0.2943792724525143,0.0015503166471616254,-0.0026946366,0.98,0.2,0.39616987,False,False
-68.581094,250,1191.404711,-0.3950154566422318,7.197731226256674e-06,-0.08811535,0.98,0.2,0.49703613,False,False
1797.597652,250,1194.747902,10.341427331684105,0.20691222903201253,1.1949719,0.05,0.99,0.18685873,False,False
961.30906,250,1198.050223,3.533677318259191,0.07142709879784011,1.2028238,0.05,0.99,0.46587753,False,False
1715.537487,250,1201.262392,8.60568837725957,0.17404260928091206,1.1978924,0.05,0.99,0.57814336,False,False
946.278418,250,1204.577947,6.099542929273308,0.12212005543324467,1.1426015,0.05,0.99,0.26701427,False,False
2142.354343,250,1207.832851,6.3977545505293145,0.12663694734248604,1.1780528,0.3417348,0.99,0.4167764,False,False
1232.925929,250,1298.376802,-0.09113332851349377,0.002174845631993003,-0.0039399713,0.98,0.2,0.58701336,False,False
1228.286914,250,1301.588871,-0.5334389713889288,0.0030303395398737446,-0.007919997,0.98,0.2,0.47329628,False,False
1107.528818,250,1304.889344,-0.2470952220369315,0.0022776402861695772,-0.0006878525,0.98,0.2,0.20641084,False,False
1645.469231,250,1308.277419,8.34462014578875,0.16616265195379704,1.1406275,0.13890328,0.99,0.30875263,False,False
696.497483,250,1311.561859,-0.32952982967502575,0.00036858010661468835,0.017851964,0.98,0.2,0.5937647,False,False
