#{"t_start": 1743315594.3094363, "env_id": "None"}
r,l,t,reward,mastery_gain,engagement,cog_load,motivation,eff_difficulty,miscon_formed,miscon_cleared
-4.429741,250,52.400938,-0.07376646200875572,0.002834179451851024,-0.060780272,0.98,0.2,0.59667933,False,False
42.999061,250,55.320294,-3.406860940329753,1.2940265088823737e-05,-0.06459139,0.98,0.2,0.79702157,True,False
-63.334328,250,58.178028,-1.0176495121320468,0.0013709348817658796,-0.037428692,0.98,0.2,0.696745,False,False
17.098411,250,61.000339,-0.6048391144760629,3.638856433196795e-05,-0.06184496,0.98,0.2,0.79705626,False,False
8.340049,250,63.76532,-0.27422167115284646,0.0019864749314638685,-0.083591715,0.98,0.2,0.7970373,False,False
28.314564,250,66.846205,-0.9135600626745161,0.0034638124210072834,-0.0040994138,0.98,0.2,0.69700927,False,False
104.654348,250,69.820416,-0.4644641174871853,0.0010134175546981279,-0.043162957,0.98,0.2,0.5964752,False,False
871.685821,250,73.01606,2.794826708820215,0.06101343246473297,1.1538321,0.05,0.99,0.26804376,False,False
1498.781493,250,158.298039,4.438135678916844,0.09025698462902847,1.2115659,0.05,0.99,0.08710421,False,False
61.507975,250,161.918817,-0.20366189415678793,0.002921606133967556,-0.0040917397,0.98,0.2,0.29672113,False,False
299.693198,250,165.464977,-0.10027595081461727,0.003733638969156492,-0.013299406,0.98,0.2,0.697108,False,False
-81.908711,250,168.838775,-0.24398546600887547,0.000855059975276516,-0.011578038,0.98,0.2,0.6970034,False,False
4.170265,250,172.38765,-0.28976079318386955,0.0012018367104058183,0.0052072406,0.98,0.2,0.2970036,False,False
189.004731,250,175.954003,0.020437695088320343,0.0024059781558530206,-0.042120337,0.98,0.2,0.29702544,False,False
376.9312,250,179.784445,-0.2245936456810818,0.0035060563423407356,0.018166617,0.98,0.2,0.29711506,False,False
1481.396384,250,183.511993,6.211131340414534,0.12947100370631118,1.210833,0.05,0.99,0.4297787,False,False
