#{"t_start": 1743315588.3243496, "env_id": "None"}
r,l,t,reward,mastery_gain,engagement,cog_load,motivation,eff_difficulty,miscon_formed,miscon_cleared
1263.794664,250,58.387538,-1.270799088175953,7.3437262403893505e-06,-0.08035141,0.98,0.2,0.95,False,False
110.798514,250,61.304369,-0.12230981282634912,0.005780717295757258,-0.058338463,0.98,0.2,0.4970437,False,False
90.68402,250,64.164114,-1.046127498488988,0.00248341197170088,0.025892809,0.98,0.2,0.7957481,False,False
-53.232893,250,66.981424,-0.07243960811795934,0.0017773062964077505,-0.018012121,0.98,0.2,0.497011,False,False
2639.218383,250,69.750407,4.78985380572888,0.09631497476683314,1.1323874,0.05,0.99,0.20480272,False,False
-37.477943,250,72.831291,-0.5757242979483415,1.0046709227904743e-05,-0.04342565,0.98,0.2,0.1970214,False,False
59.173933,250,75.804498,-1.20840402092479,3.616676888022644e-05,0.025765195,0.98,0.2,0.8970115,False,False
108.825081,250,79.001147,-0.04674806842548168,0.002292761316827433,0.026565656,0.98,0.2,0.49707615,False,False
117.752682,250,164.282128,-0.3315665074415592,0.0018210552800146987,-0.023958236,0.98,0.2,0.39705864,False,False
2635.670249,250,167.903903,9.974837780597209,0.19992838916962147,1.1953723,0.05,0.99,0.5068778,False,False
121.593962,250,171.451071,-0.1157700609446472,0.005547221527304795,0.026964732,0.98,0.2,0.19700253,False,False
68.066409,250,174.819869,-0.9123985356726904,0.002073100534600698,-0.007954806,0.98,0.2,0.59702533,False,False
41.650922,250,178.367739,-0.08859157253261325,0.001423127157498217,-0.031163812,0.98,0.2,0.49575418,False,False
44.039527,250,181.936088,-0.3054630248373531,0.001887984842482641,0.027670383,0.98,0.2,0.29702812,False,False
89.157865,250,185.771532,-0.573733220710462,0.001995640741306431,0.0067402422,0.98,0.2,0.7970254,False,False
291.667086,250,189.494078,-0.44985038925576637,0.0026946533450745687,-0.03095612,0.98,0.2,0.6959738,False,False
2760.345448,250,273.469248,21.98833475814997,0.44229182817255236,1.1955831,0.05,0.99,0.5970959,False,False
-96.759376,250,276.71734,-3.58944244297474,0.0016746673269809555,-0.015860751,0.98,0.2,0.7968909,True,False
82.477852,250,279.995163,-0.6545217617815953,4.3707360195673445e-05,-0.031108856,0.98,0.2,0.39707094,False,False
-3.193591,250,283.51819,-0.9162781159601329,0.003409519900636439,0.026507601,0.98,0.2,0.6970109,False,False
-81.781944,250,286.609523,-0.4417956987369347,0.0014854631941551195,-0.017443493,0.98,0.2,0.59703445,False,False
189.960868,250,289.830155,-0.6428837674223441,2.4538880660021407e-05,-0.015338957,0.98,0.2,0.4970312,False,False
