#{"t_start": 1743315605.3445625, "env_id": "None"}
r,l,t,reward,mastery_gain,engagement,cog_load,motivation,eff_difficulty,miscon_formed,miscon_cleared
703.678042,250,41.366812,0.22676881871319565,0.005920830475304873,-0.049314097,0.98,0.90935373,0.3516307,False,False
17.494533,250,44.285168,-0.10190315472794449,0.0022828293395612885,0.00693658,0.98,0.2,0.59702,False,False
-31.902998,250,47.144906,-0.35573203036254464,1.7385204123294382e-05,-0.06238042,0.98,0.2,0.39700025,False,False
-14.145708,250,49.962212,-0.9491177389366027,1.9212774549729596e-05,-0.060593978,0.98,0.2,0.5969991,False,False
2080.843786,250,52.732195,10.86920156669092,0.21680222425038678,1.005929,0.14004546,0.99,0.18437934,False,False
70.574795,250,55.813076,-0.7642830365444578,0.006431740069100545,0.008594155,0.98,0.2,0.6965893,False,False
-31.52722,250,58.784285,-0.4431940101626991,0.0014110200948646097,-0.061991557,0.98,0.2,0.59563875,False,False
381.254331,250,61.98593,-0.20153913550380925,0.001661363899945406,-0.083360076,0.98,0.2,0.69598544,False,False
44.038806,250,147.260915,-0.2174876077481771,0.0013082502323216907,-0.059939697,0.98,0.2,0.6951659,False,False
176.689331,250,150.884691,0.015419350624103045,0.0022970846451822657,-0.07036877,0.98,0.2,0.29592252,False,False
150.690276,250,154.430858,-0.302498696752902,0.0024019225866890722,-0.06864798,0.98,0.2,0.3970288,False,False
1996.252846,250,157.799656,-0.9014341979725559,0.0023624049542280046,0.8639282,0.08787951,0.9753425,0.797031,False,False
937.44487,250,161.349526,6.765044638799162,0.1365432057544893,1.1558719,0.06448081,0.99,0.4934071,False,False
-58.665495,250,164.919876,-0.651606485639537,0.0026813523798282016,-0.017329812,0.98,0.2,0.6964957,False,False
930.818277,250,168.754332,4.084025122390016,0.08200477515073268,0.9760531,0.100608125,0.99,0.45403066,False,False
-85.049882,250,172.477867,-0.39495990829661454,8.150745829946888e-06,-0.07266872,0.98,0.2,0.49702087,False,False
929.578292,250,256.450035,5.975440806669397,0.12528497112231757,0.6715377,0.05520246,0.99,0.29707646,False,False
97.211818,250,259.701135,-0.5246382390697591,0.0029796050790155066,0.01007551,0.98,0.2,0.7970662,False,False
-4.411971,250,262.975954,-0.05304551815550928,0.0009293094790853252,-0.061536476,0.98,0.2,0.29612207,False,False
1139.334091,250,266.502973,5.8366427485954535,0.11641632717269017,1.094724,0.12031821,0.99,0.15783092,False,False
1116.615492,250,269.590313,8.604597782975903,0.17568868120116932,1.1150023,0.085185945,0.99,0.69497776,False,False
2159.837063,250,272.810941,10.700522795337228,0.21412463003696128,1.1549217,0.05,0.99,0.25822425,False,False
108.188241,250,276.197809,-0.37158583943343315,0.0007948078433084187,-0.03568743,0.98,0.2,0.49702808,False,False
2093.248489,250,279.976817,-0.43570172398962714,0.003020834668342642,0.89023334,0.15682924,0.9661646,0.8970052,False,False
41.753148,250,368.882278,-0.16809160629535103,0.00463090051772706,-0.084707916,0.98,0.2,0.29644892,False,False
1995.652721,250,372.308968,8.158855086023092,0.1661218007280326,1.1005661,0.16470869,0.99,0.76048446,False,False
2518.623827,250,389.666233,14.018568945439116,0.2838860370874694,1.1374393,0.09972153,0.99,0.69713753,False,False
1936.971632,250,393.079004,8.789852679146833,0.17619837726604953,1.1413416,0.05,0.99,0.21352215,False,False
1501.197147,250,396.819494,7.1184505627802075,0.14263959651248428,1.0379446,0.05,0.99,0.37488073,False,False
168.940003,250,400.206701,-0.28152571966731776,0.0018189695558976677,-0.07365443,0.98,0.25777605,0.3968815,False,False
887.065034,250,403.47438,-1.0968998263474654,0.0010630562508178755,0.79443675,0.16389596,0.9706708,0.95,False,False
785.196971,250,406.716817,3.6217893346769636,0.0776255484677067,1.1274565,0.05,0.99,0.34482312,False,False
100.839889,250,488.842167,-0.12156380485435453,0.0024313116894730887,0.008761406,0.98,0.2,0.19705418,False,False
1899.729848,250,491.740823,-0.3502727188748601,0.003229567354803317,-0.019452363,0.98,0.9647455,0.36411843,False,False
62.129399,250,494.64546,-0.2905204635001025,0.0016410255392654701,0.007277727,0.98,0.2,0.39700064,False,False
135.915803,250,497.526712,-0.443344947099258,0.0014533788192357716,-0.008281991,0.98,0.2,0.5970016,False,False
78.806117,250,500.38386,-1.0041348493736735,0.0016539075349931915,-0.017367363,0.98,0.2,0.6970472,False,False
144.838219,250,503.224362,0.010808100299120854,0.002650709999821204,0.010302216,0.98,0.2,0.39596248,False,False
2511.516856,250,506.135561,12.402045279082653,0.24779883416311438,1.1011015,0.10236938,0.99,0.3553704,False,False
2498.306543,250,508.995084,11.674788419288618,0.2346474017634436,1.1067504,0.05,0.99,0.54288983,False,False
-54.052985,250,584.380593,-2.5312023759717563,0.0013729972315384544,-0.017808914,0.98,0.2,0.29700258,True,False
704.275554,250,587.271987,-0.29817564480786496,0.001506661725186314,-0.018009484,0.98,0.2,0.79702276,False,False
273.259281,250,590.137008,-0.6448170268004046,1.1118197312143437e-05,0.026630148,0.98,0.2,0.49706453,False,False
2330.91784,250,592.995521,9.79156777042992,0.19700275398450037,1.199927,0.05,0.99,0.61141896,False,False
92.584449,250,595.822195,-0.3837722631776585,0.001534851705860587,-0.017812788,0.98,0.2,0.49637505,False,False
41.593358,250,598.749662,-0.6283351964890554,0.001660035278917164,0.0109446645,0.98,0.2,0.4970367,False,False
1229.518995,250,601.630028,3.7901319330316228,0.07624100851174483,1.1425564,0.05,0.99,0.5648187,False,False
919.56437,250,604.468361,5.1703840519027935,0.10872074028191372,1.156864,0.05,0.99,0.36727035,False,False
2381.934029,250,607.313046,10.048157491436495,0.2014139169244149,1.1974198,0.05,0.99,0.38352215,False,False
1128.920346,250,681.91271,6.916658858825126,0.13891990231790857,0.96333647,0.05,0.99,0.4963782,False,False
177.469373,250,684.789136,-0.0003208509984024841,0.0024457647100043127,-0.0077207983,0.98,0.2,0.3970462,False,False
21.275256,250,687.707272,-0.9043031905013387,3.500331487642897e-05,0.026044533,0.98,0.2,0.39704165,False,False
257.832429,250,690.584667,-0.2198563769633639,0.002465954754230586,0.0106821805,0.98,0.2,0.19639115,False,False
237.326265,250,705.020301,-0.1427153359968363,0.0038520281760019088,-0.04853572,0.98,0.7474334,0.29360956,False,False
