#{"t_start": 1743330617.4003541, "env_id": "None"}
r,l,t,reward,mastery_gain,engagement,cog_load,motivation,eff_difficulty,miscon_formed,miscon_cleared
-1.661661,250,0.745121,-1.0934913673536855,0.000282202788915484,0.92164105,0.05,0.99,0.05,False,False
959.38307,250,1.614554,1.445506459292338,0.03911746476554008,1.0880101,0.05,0.99,0.05,False,False
977.936128,250,2.325602,7.631728363496172,0.15845745905244563,1.1376354,0.05,0.99,0.46537766,False,False
1301.882575,250,3.086061,-1.0931133385194047,0.00025637649438241305,0.99180996,0.05,0.96176904,0.05,False,False
1978.127135,250,3.823476,18.467395198902295,0.3744262727724703,1.1860191,0.05,0.99,0.31938154,False,False
1455.55337,250,4.56624,12.060405526554652,0.24460387279164927,1.0322266,0.05,0.99,0.29712844,False,False
386.739263,250,5.296258,-1.076439190434153,0.0005201577099813005,0.99831015,0.05,0.9610996,0.05,False,False
-4.392534,250,6.01081,-1.0934913673536855,0.000282202788915484,0.92164105,0.05,0.99,0.05,False,False
314.774068,250,6.7569,1.7254379323736773,0.015147201994093154,0.99831015,0.05,0.99,0.05,False,True
1469.928516,250,7.5068,12.067788708250465,0.24462109824492517,1.1410452,0.05,0.99,0.29714674,False,False
956.043204,250,8.290422,1.445505136293399,0.03911743890160775,1.0880101,0.05,0.99,0.05,False,False
977.455456,250,9.094379,9.641261396920207,0.19803337851848252,1.1885655,0.05,0.99,0.2971278,False,False
962.203534,250,9.890834,1.445505136293399,0.03911743890160775,1.0880101,0.05,0.99,0.05,False,False
3.485377,250,10.475964,-1.0913362911159905,0.0002771935678221559,1.0011686,0.05,0.96370983,0.05,False,False
1031.401592,250,11.108181,-0.06265973079269094,0.010280653285669294,0.9968699,0.05,0.99,0.05,False,False
-4.211172,250,11.768833,-1.0892094572173434,0.000282202788915484,0.9930062,0.05,0.99,0.05,False,False
623.761116,250,12.489691,3.4117941571409505,0.07411120440023145,1.0907581,0.05,0.99,0.18483838,False,False
696.591801,250,13.184346,-1.0315234704121643,0.000386605887801067,0.99552613,0.05,0.99,0.100906014,False,False
819.98276,250,13.872965,1.316707211503882,0.03525188418347635,1.0757563,0.05,0.99,0.081909,False,False
1685.680248,250,14.534114,15.679752238415078,0.3197696712337414,1.1254296,0.05,0.99,0.05,False,False
1116.875982,250,15.235033,10.880374567548543,0.2189392655368668,1.1676326,0.06309898,0.99,0.49706817,False,False
1128.256605,250,15.859274,10.880439135833136,0.2189405950495313,1.1676326,0.063099355,0.99,0.49706984,False,False
-95.510166,250,16.424414,-1.0982187995996093,0.00014118006718950626,0.96036947,0.05,0.99,0.05,False,False
96.388834,250,17.012573,0.41334539089340094,0.00032350491985442794,1.0011686,0.05,0.99,0.05,False,True
-0.471807,250,17.556288,-1.0892094572173434,0.000282202788915484,0.9930062,0.05,0.99,0.05,False,False
684.363248,250,18.17395,1.9048968864442726,0.04409173815620308,0.9900577,0.05,0.99,0.3099721,False,False
1086.006,250,18.820007,1.8346597026560456,0.04611303522671014,1.0507882,0.05,0.99,0.05,False,False
1078.564559,250,19.465539,11.664079076801862,0.2348234454427188,1.1027119,0.05,0.99,0.4971161,False,False
1172.512848,250,20.083545,-0.5922287224350333,0.007019303804699659,0.99881613,0.05,0.99,0.21050215,False,False
-4.399973,250,20.75873,-1.0892094572173434,0.000282202788915484,0.9930062,0.05,0.99,0.05,False,False
