#{"t_start": 1743315563.8441586, "env_id": "None"}
r,l,t,reward,mastery_gain,engagement,cog_load,motivation,eff_difficulty,miscon_formed,miscon_cleared
1764.411611,250,82.866216,15.124378360587285,0.30728277590012404,1.1487097,0.123823196,0.99,0.85563534,False,False
143.232615,250,85.785572,-0.5280716304062213,0.003760472806933709,-0.056063518,0.98,0.2,0.59705025,False,False
54.61832,250,88.644305,-0.034883488081692504,0.0012994783288926115,-0.041512504,0.98,0.2,0.29701576,False,False
-60.161224,250,91.461615,-0.9491942537836853,1.923070825611902e-05,-0.040645376,0.98,0.2,0.59708494,False,False
33.716364,250,94.230598,-0.41203263712292537,0.0009853640579450878,-0.04002048,0.98,0.2,0.49700773,False,False
1.170715,250,97.310482,-0.07961545860648825,0.0016343263244865986,-0.0396616,0.98,0.2,0.49703255,False,False
66.370509,250,100.284689,-0.050701913894343364,0.002199467656589985,-0.04964441,0.98,0.2,0.49650452,False,False
166.545189,250,103.481338,0.005466797725748373,0.0025535674679555767,-0.063413695,0.98,0.2,0.39655966,False,False
679.552038,250,188.761319,0.04829948373432119,0.002963190012409321,-0.0513559,0.98,0.2,0.2970224,False,False
912.708787,250,192.381096,2.8335161441788603,0.05815926952585684,1.1732605,0.05,0.99,0.1516187,False,False
175.853228,250,195.92825,-0.06093165284679391,0.001227482559326081,0.04068117,0.98,0.2,0.39667526,False,False
758.557757,250,199.30006,3.9845223586387033,0.0801408995373082,1.1202307,0.05,0.99,0.3760683,False,False
2356.040296,250,202.848937,0.445364133050027,0.013668662723923374,0.8307218,0.05,0.9686635,0.17064682,False,False
-35.569815,250,206.41728,-0.297707476378671,0.001502704051709341,-0.06052123,0.98,0.2,0.79675895,False,False
1899.830526,250,210.249722,2.850920479410406,0.059661261026134414,1.0446637,0.05,0.99,0.3970558,False,False
575.621591,250,213.975269,-0.9509098400874584,0.0012893830839720384,0.016098559,0.98,0.32902277,0.5966215,False,False
242.891896,250,297.948435,-2.8258698515854355,0.0004695040518053839,0.0016969442,0.98,0.2,0.29568547,True,False
122.793388,250,301.199531,-0.007422957059821157,0.0030786777794941135,0.0013157874,0.98,0.2,0.49705267,False,False
-32.682854,250,304.476358,-0.2409380439193606,0.0033563391012518414,-0.049783647,0.98,0.2,0.494945,False,False
2093.164636,250,307.99938,3.4423195450357125,0.07707579600165591,1.1366923,0.05,0.99,0.05,False,False
-65.210618,250,311.089714,-0.2674161885359791,0.0026489680601330455,-0.06889501,0.98,0.2,0.29703405,False,False
1992.104579,250,314.311345,9.3474981409322,0.18840915899457691,1.0977261,0.07178998,0.99,0.6896807,False,False
291.707589,250,317.700213,-0.341509801909696,0.0034910830810592386,0.0019428879,0.98,0.26650745,0.59703153,False,False
