#{"t_start": 1743315570.4510894, "env_id": "None"}
r,l,t,reward,mastery_gain,engagement,cog_load,motivation,eff_difficulty,miscon_formed,miscon_cleared
76.580909,250,76.259285,-0.24903911999697664,0.0032456474606523556,-0.052556217,0.98,0.2,0.4970243,False,False
1.91516,250,79.177629,-0.03198518004255735,0.0012232200514503955,0.008436263,0.98,0.2,0.1965898,False,False
186.779972,250,82.038379,-0.6068352560970528,0.001296145666890655,0.0139590055,0.98,0.2,0.79628277,False,False
2530.527708,250,84.855685,-0.9351267527704055,0.0035009415631202566,0.84492785,0.11427413,0.97910154,0.8970042,False,False
5.705386,250,87.623667,-0.288943219381243,0.001692009992248415,-0.06300409,0.98,0.2,0.79703665,False,False
199.758925,250,90.704552,-3.8199430866897535,1.7614586233237208e-05,-0.052633792,0.98,0.2,0.6970078,True,False
1090.747881,250,93.677758,6.5679155605432875,0.13152587722340273,1.1094799,0.05,0.99,0.19712278,False,False
10.167264,250,96.873406,-0.0628958611078358,0.0029601019164178844,-0.073589265,0.98,0.2,0.5939122,False,False
1709.878987,250,182.154388,9.209212064826657,0.1844076815483306,1.1995665,0.05,0.99,0.1619278,False,False
29.597028,250,185.778164,-0.8826999959624843,2.431169462296054e-05,-0.052434683,0.98,0.2,0.29700792,False,False
1214.508063,250,189.322322,5.675437220311954,0.11927670369131951,1.1011631,0.05,0.99,0.3970934,False,False
615.323282,250,192.696122,-0.24825228741159794,0.002486728434981752,-0.08737379,0.98,0.2,0.39702135,False,False
20.050429,250,196.240999,-0.34907202240855884,0.0022291888171372025,-0.06587894,0.98,0.2,0.49638847,False,False
191.434567,250,199.807348,-0.2169459967316728,0.0013957668083875554,-0.085841596,0.98,0.2,0.69700146,False,False
-12.062553,250,203.644793,-0.33695701332582795,0.004888329045436032,-0.06687413,0.98,0.2,0.6944298,False,False
-41.783356,250,207.365332,-0.9068641848826807,1.6249890994228294e-05,-0.07244672,0.98,0.2,0.7970481,False,False
-29.390822,250,291.342509,0.04327222440591111,0.004091464417765668,-0.073272124,0.98,0.2,0.49700785,False,False
406.990662,250,294.5926,-0.9494765152492627,1.4441699666770169e-05,-0.06641026,0.98,0.2,0.5970425,False,False
22.235992,250,297.868423,-0.6521665590137594,3.801771902967945e-05,-0.07289472,0.98,0.2,0.39702135,False,False
1862.07258,250,301.391451,9.560786774220757,0.1913461591382464,1.1432569,0.05,0.99,0.39367038,False,False
25.193417,250,304.481789,-0.39377741849060127,0.0013364132083186968,-0.073277935,0.98,0.2,0.49644223,False,False
